Date,PMP_Duration,SAA Target,Peer Group
2022-12-31,0.942040483063078,0.5117607598360552,1.1872916142094292
2023-01-31,3.257765124081957,2.8976586616248134,2.953039895627141
2023-02-28,-0.7399344365373373,-1.0486382039311515,0.2899964625943774
2023-03-31,3.1945506990230133,3.544350200695434,3.0922496899647767
2023-04-30,0.8231886612477313,0.927191174904296,1.2844284150935303
2023-05-31,1.8871922733994628,2.046351166161098,1.8012170738482158
2023-06-30,-1.2814471276995643,-1.7974543998339088,-0.7483518474109219
2023-07-31,-1.1071243099217365,-1.545406570274821,-0.576256046395851
2023-08-31,-0.5748600189116049,-0.742184017583003,0.19685714319044312
2023-09-30,-1.753019010850132,-1.4307168985959073,-0.3416000869136959
2023-10-31,-3.357009279177514,-3.000388707638746,-1.7452503177155854
2023-11-30,0.018027132306630556,-0.019445917568505777,0.2692691979577777
2023-12-31,5.174635782234582,4.824379920144417,3.652454658765514
2024-01-31,6.32511007434855,6.181503086487017,4.6600834698082405
2024-02-29,2.357311387400296,2.1511695162927946,2.1305829903104145
2024-03-31,0.15476791629081,0.18125515014910665,0.729654924341272
2024-04-30,-1.5859587733832337,-1.6811032759740274,-0.6904935491974018
2024-05-31,-0.32723595908368264,-0.4066682379940678,0.07174067456630073
2024-06-30,-0.7154886549257222,-0.6358997038983905,-0.20073247619576406
2024-07-31,2.951937460177545,3.140126723524017,2.4490873434100724
2024-08-31,3.17531528734194,3.6299459969486803,2.7128647476227785
2024-09-30,3.5245083704991353,3.634424366863187,2.797398670423412
2024-10-31,-0.4324608075552572,-0.012007052140949881,0.30716361230478384
2024-11-30,-0.15323072445322383,0.09216488237426823,0.3392881708412565
2024-12-31,-1.3906668462912553,-1.0172769977326301,-0.2560046691028828
2025-01-31,1.2626163412009284,1.1064169214624497,1.2940124064338088
2025-02-28,1.375597971579734,1.0754817135082861,1.2716018561548026
2025-03-31,2.1221579740879903,1.2898050840722153,1.2442596923941007
